Uczelnia;Pełny tytuł kierunku;Rok oferty;Czas trwania;Tytuł po ukończeniu;Wymagane przedmioty maturalne / rekrutacja;Czy kierunek świeżo-powstały?;Czy jest II stopień na tej samej uczelni?;Link do spisu przedmiotów;Link do planu zajęć;Link do pełnej oferty
Uniwersytet Jagielloński w Krakowie;Bioinformatyka;2026/2027;3 lata;licencjat;wg IRK UJ – biologia/matematyka/chemia/fizyka/informatyka;Nie;Tak;https://wbbib.uj.edu.pl/dla-studentow/programy-studiow/bioinformatyka-i;;https://irk.uj.edu.pl/pl/offer/programme/bioinf_s1s_P/
Uniwersytet Komisji Edukacji Narodowej w Krakowie;Bioinformatyka;2025/2026–2026/2027;3,5 roku;inżynier;polski, matematyka, język obcy + biologia/chemia/fizyka/informatyka;Raczej tak;Brak studiów drugiego stopnia;https://ibnz.uken.krakow.pl/bioinformatyka-3/;;https://www.uken.krakow.pl/studia/studia-i-stopnia/379-bioinformatyka-i-stopnia
Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie;Bioinformatyka i analiza danych;2026/2027;3,5 roku;inżynier;brak pełnych danych publicznych;Tak – nowy kierunek od 2022;Brak studiów drugiego stopnia;;;https://www.otouczelnie.pl/uczelnia_dzial/4301/Uniwersytet-Rolniczy-w-Krakowie-URK-rekrutacja-na-studia-20262027
Politechnika Poznańska;Bioinformatyka;2026/2027;3,5 roku;inżynier;matematyka + język obcy + biologia/chemia/fizyka/informatyka;Nie;Tak;https://put.poznan.pl/karty-ects/20212022/bioinformatyka/stacjonarne/studia-pierwszego-stopnia;;https://put.poznan.pl/kierunek/bioinformatyka-0
Uniwersytet im. Adama Mickiewicza w Poznaniu;Bioinformatyka;2026/2027;3 lata;licencjat;angielski, matematyka + biologia/chemia/fizyka/informatyka;Nie;Tak;;;https://rekrutacja.amu.edu.pl/kierunki-studiow/bioinformatyka%2C29
Uniwersytet Gdański;Bioinformatyka;2026/2027;3 lata;licencjat;wg zasad UG 2026/27;Nie;Brak studiów drugiego stopnia;https://mfi.ug.edu.pl/studenci/karty-przedmiotow-aktualne-programy-studiow/studia-i-stopnia/bioinformatyka/nabor-20252026;https://inf.ug.edu.pl/plan/fiz/?grupa=1BF1r;https://rekrutacja.ug.edu.pl/blog/kierunek/bioinformatyka/
Uniwersytet Przyrodniczy we Wrocławiu;Bioinformatyka;2026/2027;3,5 roku;inżynier;wg zasad UPWr;Nie;Tak;https://sylabus.upwr.edu.pl/pl/9/1/4/1/28;;https://www.upwr.edu.pl
Uniwersytet Przyrodniczy w Lublinie;Bioinformatyka w biogospodarce;2025/2026–2026/2027;7 semestrów;inżynier;brak pełnych danych publicznych;Tak;Brak studiów drugiego stopnia;;;https://up.lublin.pl/rekrutacja/bioinformatyka-w-biogospodarce/
Wrocławska Wyższa Szkoła Informatyki Stosowanej / ATINS;Bioinformatyka;2026;3,5–4 lata;inżynier;brak sztywnych progów publicznych;Nie;Brak studiów drugiego stopnia;https://atins.pl/uczelnia/bioinformatyka/programy-studiow-2/;;https://www.otouczelnie.pl/uczelnia_dzial/1691/Bioinformatyka-Akademia-Techniczno-Informatyczna-w-Naukach-Stosowanych
Uniwersytet Warszawski;Bioinformatyka i biologia systemów;2026/2027;3 lata;licencjat;polski, matematyka, język obcy + biologia/chemia/fizyka/informatyka;Nie;Brak studiów drugiego stopnia;https://informatorects.uw.edu.pl/pl/programme?q=S1-BIOINF;;https://irk.uw.edu.pl/pl/offer/PELNE2026/programme/S1-BIOINF/
Politechnika Wrocławska;Biosciences (II stopień);2026/2027;3–4 semestry;magister inżynier;dyplom I stopnia;Nie;Tak – to II stopień;;;https://rekrutacja.pwr.edu.pl/wyszukiwarka-kierunkow-studiow/biosciences/
Uniwersytet Warszawski;Zastosowania fizyki w biologii i medycynie – specjalność projektowanie molekularne i bioinformatyka;2026/2027;2 lata (II stopień);magister;dyplom I stopnia;Nie;Tak;https://informatorects.uw.edu.pl/pl/programmes-all/FBM/S2-FBM/;;https://irk.uw.edu.pl/pl/offer/PELNE2026/programme/S2-FBM/
PJATK;Bioinformatyka – studia podyplomowe;2026/2027;2 semestry;świadectwo ukończenia studiów podyplomowych;dyplom ukończenia studiów;Tak;Tak – rozwijane także II stopnia;https://podyplomowe.pja.edu.pl/studia/podyplomowe/bioinformatyka/program-studiow/;;https://podyplomowe.pja.edu.pl/studia/podyplomowe/bioinformatyka/
